outcome	(모두)			
				
최소값 : ink	열 레이블			
행 레이블	Corridor	Lever	LeverThenCorridor	총합계
BlockTheSpike_SP1WD1_FL1	17.5806675			17.5806675
BombInSquare_BB1SL2_Auto	15.00930309	2.659998894	4.342422485	2.659998894
Children_BB1SP1WD1SL1_FL1	26.51805878	2.659998894	8.225276947	2.659998894
Christmas_BB5SL1_FL1	24.49698257	2.659998894	4.579998016	2.659998894
Complicate_BB1FB1SP3SL2_FL2		2.659998894		2.659998894
Complicate_BB1FB1SP3WD1SL1_FL2	7.859806061	2.659998894	3.525532007	2.659998894
ExtendWInd_BB1WD1SL3_FL1	18.40848923	2.659998894	7.833855629	2.659998894
Fall_FB1_FL1		2.659998894		2.659998894
Fall_SL1_FL1	7.662848473	2.659998894	2.942888498	2.659998894
Ghast_BB1SL3_FL1	18.41646194	2.659998894	5.486028671	2.659998894
Grape_SL10_FL1	11.07830143	2.659998894	2.659999847	2.659998894
HoldOnTight_WD3_FL2	14.78682518	2.659998894	3.6191926	2.659998894
SlimeRoad_SL6_FL1	10.53870869	2.659998894	6.100491524	2.659998894
SlimeStorm_WD5SL5_FL8		2.659998894		2.659998894
Slope_Auto	13.41640759	2.659999847		2.659999847
Slope_BB1_FL1	15.2157793	2.659998894	10.28262329	2.659998894
SlopeBroken_FL1	13.41640759	2.659999847	9.377271652	2.659999847
SlopeFall_FL1	14.98530197	2.659998894	7.276377678	2.659998894
SlopeFall2_FL1	21.58086014			21.58086014
SlopeVoid_FL1		2.659998894		2.659998894
SpaceX_BB2SP1SL1_FL3	17.51219177	2.659998894	2.775577545	2.659998894
StageSolver_BB5FB2SP2WD2	29.13344193	2.659998894	9.474214554	2.659998894
StepDown_BB4_FL1	12.54661942	6.260001183	8.324991226	6.260001183
Updown_BB1FB1SL1_FL2	11.50308609	2.659998894	3.185000896	2.659998894
Void_SL3_Auto		2.659998894		2.659998894
WindBounceBack_WD1SL3_Auto	16.53439331	2.659999371	6.079582214	2.659999371
WindLaunch_FB1SP5WD1SL1_FL3		2.659998894		2.659998894
총합계	7.662848473	2.659998894	2.659999847	2.659998894
