stageId	cleared	pass	passName	tries	bestGoalDist	seconds	seed	deviceCount	attemptCount	clearCount	strokeCount	pivotCount
BlockTheSpike_SP1WD1_FL1	TRUE	1	Corridor	2	0.74340868	0.366259396	0	2	2	1	12	0
BombInSquare_BB1SL2_Auto	TRUE	1	Corridor	780	0.476288855	8.977787971	0	3	780	146	18	0
Children_BB1SP1WD1SL1_FL1	TRUE	1	Corridor	2303	0.626416564	255.8539124	0	4	2303	301	26	0
Christmas_BB5SL1_FL1	TRUE	1	Corridor	2388	0.554587126	595.3984375	0	6	2388	495	29	0
Complicate_BB1FB1SP3SL2_FL2	FALSE	0	None	532	1.117906451	4.819824696	0	7	532	0	2	1
Complicate_BB1FB1SP3WD1SL1_FL2	FALSE	0	None	594	1.177693367	5.401094913	0	7	594	0	2	1
ExtendWInd_BB1WD1SL3_FL1	TRUE	1	Corridor	843	0.607499838	11.93531609	0	5	843	90	35	0
Fall_FB1_FL1	TRUE	2	Lever	532	0.600404441	2.766413689	0	1	532	20	2	1
Fall_SL1_FL1	TRUE	1	Corridor	966	0.587278247	4.590202808	0	1	966	228	2	0
Ghast_BB1SL3_FL1	TRUE	3	LeverThenCorridor	907	0.620351195	12.10695171	0	4	907	21	12	1
Grape_SL10_FL1	TRUE	2	Lever	2081	0.658322811	92.25305939	0	10	2081	164	2	1
HoldOnTight_WD3_FL2	TRUE	1	Corridor	1276	0.553832531	16.63155937	0	3	1276	213	20	0
SlimeRoad_SL6_FL1	TRUE	2	Lever	762	0.658277869	7.911409378	0	6	762	35	2	1
SlimeStorm_WD5SL5_FL8	TRUE	2	Lever	532	0.57932061	5.319202423	0	10	532	108	2	1
SlopeBroken_FL1	TRUE	1	Corridor	6	0.709584892	0.170976698	0	0	6	1	2	0
SlopeFall2_FL1	TRUE	1	Corridor	1	0.611685097	0.183226496	0	0	1	1	8	0
SlopeFall_FL1	TRUE	1	Corridor	523	0.630504072	12.21669579	0	0	523	35	12	0
SlopeVoid_FL1	TRUE	2	Lever	532	0.585448444	2.495723009	0	0	532	8	2	1
Slope_Auto	TRUE	1	Corridor	5	0.709584892	0.158059895	0	0	5	5	2	0
Slope_BB1_FL1	TRUE	1	Corridor	340	0.657012343	4.397861481	0	1	340	122	2	0
SpaceX_BB2SP1SL1_FL3	TRUE	1	Corridor	2323	0.538658679	217.6637421	0	4	2323	217	11	0
StageSolver_BB5FB2SP2WD2	TRUE	1	Corridor	2094	0.582560599	50.2269516	0	11	2094	235	19	0
StepDown_BB4_FL1	TRUE	1	Corridor	396	0.565793633	9.566555023	0	4	396	282	7	0
Updown_BB1FB1SL1_FL2	TRUE	1	Corridor	923	0.52725935	4.320241928	0	3	923	81	2	0
Void_SL3_Auto	TRUE	2	Lever	532	0.554578066	2.691322088	0	3	532	64	2	1
WindBounceBack_WD1SL3_Auto	TRUE	1	Corridor	35	0.681381166	0.677645981	0	4	35	6	17	0
WindLaunch_FB1SP5WD1SL1_FL3	FALSE	0	None	532	1.0346663	2.609630346	0	8	532	0	2	1
